Monitoraggio del materiale particolato di Pablito e Seba
by Sebastian Peradotto (purosangue)
Started at: Feb 03 2020 21:26:07
Data unit: [micro g/m^3]
Date,PM2.5,PM10
Feb 03 2020 21:26:08,8.9,39.1
Feb 03 2020 21:26:10,8.7,38.2
Feb 03 2020 21:26:11,8.5,37.6
Feb 03 2020 21:26:12,8.5,36.5
Feb 03 2020 21:26:13,8.5,36.2
Feb 03 2020 21:26:14,8.7,37.1
Feb 03 2020 21:26:15,8.7,36.7
Feb 03 2020 21:26:16,8.9,37.6
Feb 03 2020 21:26:17,8.9,37.5
Feb 03 2020 21:26:18,8.9,37.6
Feb 03 2020 21:26:19,8.9,37.4
Feb 03 2020 21:26:20,9.2,38.7
Feb 03 2020 21:26:21,9.2,38.7
Feb 03 2020 21:26:22,9.3,39.5
Feb 03 2020 21:26:23,9.4,40.8
Feb 03 2020 21:26:24,9.4,41.6
Feb 03 2020 21:26:25,9.5,42.0
Feb 03 2020 21:26:26,9.6,42.6
Feb 03 2020 21:26:27,9.6,45.1
Feb 03 2020 21:26:28,9.8,45.1
Feb 03 2020 21:26:29,10.0,46.7
Feb 03 2020 21:26:30,10.1,47.5
Feb 03 2020 21:26:31,10.1,48.7
Feb 03 2020 21:26:32,10.0,48.3
Feb 03 2020 21:26:33,9.9,48.4
Feb 03 2020 21:26:34,9.9,48.5
Feb 03 2020 21:26:35,9.9,47.8
Feb 03 2020 21:26:36,10.0,48.6
Feb 03 2020 21:26:37,9.9,48.7
Feb 03 2020 21:26:38,10.2,49.1
Feb 03 2020 21:26:39,10.3,49.9
Feb 03 2020 21:26:40,10.3,50.1
Feb 03 2020 21:26:41,10.5,50.4
Feb 03 2020 21:26:42,10.5,50.5
Feb 03 2020 21:26:43,10.5,50.5
Feb 03 2020 21:26:45,10.5,50.1
Feb 03 2020 21:26:46,10.4,50.9
Feb 03 2020 21:26:47,10.3,50.9
Feb 03 2020 21:26:48,10.3,52.2
Feb 03 2020 21:26:49,10.1,51.5
Feb 03 2020 21:26:50,10.2,51.7
Feb 03 2020 21:26:51,10.1,51.3
Feb 03 2020 21:26:52,10.0,50.7
Feb 03 2020 21:26:53,9.9,49.7
Feb 03 2020 21:26:54,10.0,48.9
Feb 03 2020 21:26:55,9.9,47.8
Feb 03 2020 21:26:56,9.7,47.0
Feb 03 2020 21:26:57,9.7,46.3
Feb 03 2020 21:26:58,9.8,44.0
Feb 03 2020 21:26:59,9.7,43.3
Feb 03 2020 21:27:00,9.6,42.1
Feb 03 2020 21:27:01,9.4,41.2
Feb 03 2020 21:27:02,9.3,38.8
Feb 03 2020 21:27:03,9.4,39.4
Feb 03 2020 21:27:04,9.4,39.2
Feb 03 2020 21:27:05,9.5,39.2
Feb 03 2020 21:27:06,9.6,40.1
Feb 03 2020 21:27:07,9.5,39.5
Feb 03 2020 21:27:08,9.5,39.6
Feb 03 2020 21:27:09,9.4,38.3
Feb 03 2020 21:27:10,9.5,39.3
Feb 03 2020 21:27:11,9.5,38.5
Feb 03 2020 21:27:12,9.4,38.4
Feb 03 2020 21:27:13,9.5,39.7
Feb 03 2020 21:27:14,9.6,40.1
Feb 03 2020 21:27:15,9.5,39.9
Feb 03 2020 21:27:16,9.7,39.8
Feb 03 2020 21:27:17,9.8,40.1
Feb 03 2020 21:27:18,10.0,38.9
Feb 03 2020 21:27:20,10.1,39.8
Feb 03 2020 21:27:21,10.1,39.4
Feb 03 2020 21:27:22,10.0,38.2
Feb 03 2020 21:27:23,9.9,38.1
Feb 03 2020 21:27:24,10.0,38.0
Feb 03 2020 21:27:25,10.1,38.1
Feb 03 2020 21:27:26,10.3,38.4
Feb 03 2020 21:27:27,10.3,38.8
Feb 03 2020 21:27:28,10.5,39.6
Feb 03 2020 21:27:29,10.4,39.8
Feb 03 2020 21:27:30,10.5,41.0
Feb 03 2020 21:27:31,10.5,41.1
Feb 03 2020 21:27:32,10.5,40.6
Feb 03 2020 21:27:33,10.5,42.1
Feb 03 2020 21:27:34,10.6,42.5
Feb 03 2020 21:27:35,10.7,42.5
Feb 03 2020 21:27:36,10.6,42.2
Feb 03 2020 21:27:37,10.7,41.9
Feb 03 2020 21:27:38,10.8,41.5
Feb 03 2020 21:27:39,10.6,40.9
Feb 03 2020 21:27:40,10.4,41.0
Feb 03 2020 21:27:41,10.2,40.1
Feb 03 2020 21:27:42,10.3,41.3
Feb 03 2020 21:27:43,10.4,41.1
Feb 03 2020 21:27:44,10.4,40.9
Feb 03 2020 21:27:45,10.4,41.3
Feb 03 2020 21:27:46,10.4,40.7
Feb 03 2020 21:27:47,10.3,39.7
Feb 03 2020 21:27:48,10.2,39.4
Feb 03 2020 21:27:49,10.1,39.3
Feb 03 2020 21:27:50,10.2,39.5
Feb 03 2020 21:27:51,10.2,39.6
Feb 03 2020 21:27:52,10.2,40.3
Feb 03 2020 21:27:53,10.5,40.8
Feb 03 2020 21:27:54,10.5,41.4
Feb 03 2020 21:27:56,10.4,41.2
Feb 03 2020 21:27:57,10.3,41.2
Feb 03 2020 21:27:58,10.3,41.8
Feb 03 2020 21:27:59,9.9,40.6
Feb 03 2020 21:28:00,9.7,39.9
Feb 03 2020 21:28:01,9.7,39.3
Feb 03 2020 21:28:02,9.7,40.1
Feb 03 2020 21:28:03,9.6,38.9
Feb 03 2020 21:28:04,9.6,38.6
Feb 03 2020 21:28:05,9.6,39.1
Feb 03 2020 21:28:06,9.7,39.4
Feb 03 2020 21:28:07,9.8,40.3
Feb 03 2020 21:28:08,9.6,39.7
Feb 03 2020 21:28:09,9.8,41.0
Feb 03 2020 21:28:10,9.9,42.0
Feb 03 2020 21:28:11,10.0,42.4
Feb 03 2020 21:28:12,10.0,41.6
Feb 03 2020 21:28:13,9.9,42.7
Feb 03 2020 21:28:14,9.9,43.1
Feb 03 2020 21:28:15,9.7,41.9
Feb 03 2020 21:28:16,9.8,42.8
Feb 03 2020 21:28:17,9.7,43.4
Feb 03 2020 21:28:18,9.7,45.3
Feb 03 2020 21:28:19,9.7,44.5
Feb 03 2020 21:28:20,9.7,44.9
Feb 03 2020 21:28:21,9.6,43.6
Feb 03 2020 21:28:22,9.5,43.1
Feb 03 2020 21:28:23,9.4,42.8
Feb 03 2020 21:28:24,9.1,42.9
Feb 03 2020 21:28:25,9.0,42.4
Feb 03 2020 21:28:26,8.9,41.7
Feb 03 2020 21:28:27,8.7,41.4
Feb 03 2020 21:28:28,8.8,40.8
Feb 03 2020 21:28:29,8.9,40.9
Feb 03 2020 21:28:30,9.0,40.8
Feb 03 2020 21:28:31,9.1,41.1
Feb 03 2020 21:28:32,9.1,40.2
Feb 03 2020 21:28:34,9.1,40.4
Feb 03 2020 21:28:35,9.1,41.2
Feb 03 2020 21:28:36,9.1,40.9
Feb 03 2020 21:28:37,8.9,41.5
Feb 03 2020 21:28:38,8.9,40.7
Feb 03 2020 21:28:39,8.7,40.3
Feb 03 2020 21:28:40,8.7,39.7
Feb 03 2020 21:28:41,8.7,38.5
Feb 03 2020 21:28:42,8.6,39.1
Feb 03 2020 21:28:43,8.6,39.8
Feb 03 2020 21:28:44,8.6,38.2
Feb 03 2020 21:28:45,8.6,37.1
Feb 03 2020 21:28:46,8.5,37.5
Feb 03 2020 21:28:47,8.2,35.7
Feb 03 2020 21:28:48,8.2,35.2
Feb 03 2020 21:28:49,8.5,34.0
Feb 03 2020 21:28:50,8.4,35.9
Feb 03 2020 21:28:51,8.4,35.5
Feb 03 2020 21:28:52,8.4,36.0
Feb 03 2020 21:28:53,8.5,37.2
Feb 03 2020 21:28:54,8.6,36.7
Feb 03 2020 21:28:55,8.8,37.5
Feb 03 2020 21:28:56,8.8,37.6
Feb 03 2020 21:28:57,8.8,38.6
Feb 03 2020 21:28:58,8.9,39.0
Feb 03 2020 21:28:59,8.7,39.1
Feb 03 2020 21:29:00,8.6,38.9
Feb 03 2020 21:29:01,8.6,39.5
Feb 03 2020 21:29:03,8.7,40.0
Feb 03 2020 21:29:04,8.7,39.7
Feb 03 2020 21:29:05,8.8,40.5
Feb 03 2020 21:29:06,8.8,40.8
Feb 03 2020 21:29:07,8.7,39.9
Feb 03 2020 21:29:08,8.7,39.5
Feb 03 2020 21:29:09,8.6,39.4
Feb 03 2020 21:29:10,8.8,39.7
Feb 03 2020 21:29:11,8.6,39.3
Feb 03 2020 21:29:12,8.5,39.3
Feb 03 2020 21:29:13,8.7,40.5
Feb 03 2020 21:29:14,9.2,41.1
Feb 03 2020 21:29:15,9.2,41.1
Feb 03 2020 21:29:16,9.4,42.5
Feb 03 2020 21:29:17,9.5,42.9
Feb 03 2020 21:29:18,9.6,42.6
Feb 03 2020 21:29:19,9.7,43.1
Feb 03 2020 21:29:20,9.5,43.3
Feb 03 2020 21:29:21,9.6,42.0
Feb 03 2020 21:29:22,9.6,41.3
Feb 03 2020 21:29:23,9.5,40.9
Feb 03 2020 21:29:24,9.4,39.8
Feb 03 2020 21:29:25,9.6,40.5
Feb 03 2020 21:29:26,9.6,39.2
Feb 03 2020 21:29:27,9.6,39.1
Feb 03 2020 21:29:28,9.5,38.1
Feb 03 2020 21:29:29,9.7,38.0
Feb 03 2020 21:29:31,9.9,37.8
Feb 03 2020 21:29:32,10.0,39.4
Feb 03 2020 21:29:33,10.1,39.7
Feb 03 2020 21:29:34,10.1,39.4
Feb 03 2020 21:29:35,10.1,40.3
Feb 03 2020 21:29:36,10.1,39.4
Feb 03 2020 21:29:37,9.9,37.6
Feb 03 2020 21:29:38,10.1,38.6
Feb 03 2020 21:29:39,10.3,39.0
Feb 03 2020 21:29:40,10.2,38.6
Feb 03 2020 21:29:41,10.3,38.5
Feb 03 2020 21:29:42,10.2,38.6
Feb 03 2020 21:29:43,10.2,38.8
Feb 03 2020 21:29:44,9.9,35.7
Feb 03 2020 21:29:45,9.6,36.8
Feb 03 2020 21:29:46,9.8,38.0
Feb 03 2020 21:29:47,9.7,37.8
Feb 03 2020 21:29:48,9.7,38.3
Feb 03 2020 21:29:49,9.6,38.4
Feb 03 2020 21:29:50,9.7,38.4
Feb 03 2020 21:29:51,9.5,37.3
Feb 03 2020 21:29:52,9.5,36.9
Feb 03 2020 21:29:53,9.6,37.8
Feb 03 2020 21:29:54,9.7,38.4
Feb 03 2020 21:29:55,9.9,39.4
Feb 03 2020 21:29:56,9.7,39.3
Feb 03 2020 21:29:57,9.8,39.6
Feb 03 2020 21:29:58,9.8,40.0
Feb 03 2020 21:29:59,9.8,40.1
Feb 03 2020 21:30:00,10.0,41.3
Feb 03 2020 21:30:01,9.9,41.3
Feb 03 2020 21:30:02,9.8,39.7
Feb 03 2020 21:30:03,9.6,38.6
Feb 03 2020 21:30:04,9.6,38.2
Feb 03 2020 21:30:05,9.6,38.1
Feb 03 2020 21:30:06,9.6,38.5
Feb 03 2020 21:30:07,9.6,38.1
Feb 03 2020 21:30:08,9.5,37.3
Feb 03 2020 21:30:09,9.4,36.3
Feb 03 2020 21:30:10,9.5,37.4
Feb 03 2020 21:30:12,9.4,37.9
Feb 03 2020 21:30:13,9.5,38.1
Feb 03 2020 21:30:14,9.6,39.1
Feb 03 2020 21:30:15,9.7,39.7
Feb 03 2020 21:30:16,9.6,37.8
Feb 03 2020 21:30:17,9.4,36.0
Feb 03 2020 21:30:18,9.4,35.9
Feb 03 2020 21:30:19,9.4,35.1
Feb 03 2020 21:30:20,9.4,35.3
Feb 03 2020 21:30:21,9.4,35.2
Feb 03 2020 21:30:22,9.5,35.8
Feb 03 2020 21:30:23,9.3,35.1
Feb 03 2020 21:30:24,9.2,34.6
Feb 03 2020 21:30:25,9.2,35.0
Feb 03 2020 21:30:26,9.0,33.8
Feb 03 2020 21:30:27,8.9,33.7
Feb 03 2020 21:30:28,8.8,34.2
Feb 03 2020 21:30:29,9.3,35.1
Feb 03 2020 21:30:30,9.5,35.5
Feb 03 2020 21:30:31,9.2,34.3
Feb 03 2020 21:30:32,9.5,34.5
Feb 03 2020 21:30:33,9.7,35.4
Feb 03 2020 21:30:34,9.9,35.7
Feb 03 2020 21:30:35,9.8,35.8
Feb 03 2020 21:30:37,9.8,35.1
Feb 03 2020 21:30:38,9.8,36.0
Feb 03 2020 21:30:39,9.9,36.2
Feb 03 2020 21:30:40,9.8,36.0
Feb 03 2020 21:30:41,9.9,36.7
Feb 03 2020 21:30:42,9.8,36.5
Feb 03 2020 21:30:43,9.8,36.1
Feb 03 2020 21:30:44,10.1,36.2
Feb 03 2020 21:30:45,10.1,35.0
Feb 03 2020 21:30:46,10.1,35.2
Feb 03 2020 21:30:47,10.1,35.9
Feb 03 2020 21:30:48,10.0,36.6
Feb 03 2020 21:30:49,10.0,36.2
Feb 03 2020 21:30:50,10.2,37.6
Feb 03 2020 21:30:51,10.1,39.0
Feb 03 2020 21:30:52,9.9,38.7
Feb 03 2020 21:30:53,9.9,38.9
Feb 03 2020 21:30:54,10.2,40.0
Feb 03 2020 21:30:55,10.1,40.0
Feb 03 2020 21:30:56,10.2,39.6
Feb 03 2020 21:30:57,10.4,40.0
Feb 03 2020 21:30:58,10.4,39.6
Feb 03 2020 21:30:59,10.3,38.9
Feb 03 2020 21:31:00,9.9,38.6
Feb 03 2020 21:31:01,9.7,39.4
Feb 03 2020 21:31:02,9.6,39.8
Feb 03 2020 21:31:03,9.3,40.4
Feb 03 2020 21:31:04,9.1,39.7
Feb 03 2020 21:31:05,8.9,39.4
Feb 03 2020 21:31:06,9.1,39.6
Feb 03 2020 21:31:07,9.1,39.8
Feb 03 2020 21:31:08,9.2,39.4
Feb 03 2020 21:31:09,9.2,39.5
Feb 03 2020 21:31:10,9.1,40.0
Feb 03 2020 21:31:11,9.0,39.5
Feb 03 2020 21:31:12,9.1,39.0
Feb 03 2020 21:31:13,9.1,39.6
Feb 03 2020 21:31:14,8.7,39.6
Feb 03 2020 21:31:15,8.9,39.7
Feb 03 2020 21:31:16,8.8,39.2
Feb 03 2020 21:31:17,8.8,38.6
Feb 03 2020 21:31:18,8.8,38.2
Feb 03 2020 21:31:19,8.8,37.7
Feb 03 2020 21:31:20,8.5,35.9
Feb 03 2020 21:31:21,8.6,34.7
Feb 03 2020 21:31:23,8.9,36.7
Feb 03 2020 21:31:24,9.0,36.4
Feb 03 2020 21:31:25,8.9,35.4
Feb 03 2020 21:31:26,8.9,35.3
Feb 03 2020 21:31:27,8.7,36.0
Feb 03 2020 21:31:28,8.4,35.5
Feb 03 2020 21:31:29,8.4,35.4
Feb 03 2020 21:31:30,8.5,35.8
Feb 03 2020 21:31:31,8.6,35.0
Feb 03 2020 21:31:32,8.9,34.0
Feb 03 2020 21:31:33,8.8,33.2
Feb 03 2020 21:31:34,8.8,31.9
Feb 03 2020 21:31:35,9.0,32.8
Feb 03 2020 21:31:36,9.1,32.8
Feb 03 2020 21:31:37,8.8,31.7
Feb 03 2020 21:31:38,8.8,32.4
Feb 03 2020 21:31:39,8.9,32.3
Feb 03 2020 21:31:40,9.0,32.8
Feb 03 2020 21:31:41,9.0,33.0
Feb 03 2020 21:31:42,9.1,32.8
Feb 03 2020 21:31:43,9.1,34.1
Feb 03 2020 21:31:44,9.1,34.7
Feb 03 2020 21:31:45,9.3,34.9
Feb 03 2020 21:31:46,9.1,35.2
Feb 03 2020 21:31:47,9.1,35.9
Feb 03 2020 21:31:48,9.1,35.7
Feb 03 2020 21:31:49,9.3,37.6
Feb 03 2020 21:31:50,9.4,39.6
Feb 03 2020 21:31:51,9.5,40.7
Feb 03 2020 21:31:52,9.5,41.7
Feb 03 2020 21:31:53,9.3,40.6
Feb 03 2020 21:31:54,9.4,40.7
Feb 03 2020 21:31:55,9.3,41.2
