Monitoraggio del materiale particolato di Pablito e Seba
by Sebastian Peradotto (purosangue)
Started at: Jan 26 2020 13:45:40
Data unit: [micro g/m^3]
Date,PM2.5,PM10
Jan 26 2020 13:45:41,76.4,91.5
Jan 26 2020 13:45:42,76.2,91.3
Jan 26 2020 13:45:43,76.7,92.0
Jan 26 2020 13:45:44,76.8,92.5
Jan 26 2020 13:45:45,76.9,93.1
Jan 26 2020 13:45:46,77.0,92.6
Jan 26 2020 13:45:47,77.3,92.5
Jan 26 2020 13:45:48,77.1,92.7
Jan 26 2020 13:45:49,77.1,92.6
Jan 26 2020 13:45:50,77.0,92.4
Jan 26 2020 13:45:51,76.6,92.0
Jan 26 2020 13:45:52,76.6,91.7
Jan 26 2020 13:45:53,76.9,92.8
Jan 26 2020 13:45:54,76.9,92.8
Jan 26 2020 13:45:55,76.8,92.4
Jan 26 2020 13:45:56,76.8,92.7
Jan 26 2020 13:45:57,76.6,92.5
Jan 26 2020 13:45:58,77.1,92.4
Jan 26 2020 13:45:59,76.9,92.7
Jan 26 2020 13:46:00,76.9,92.7
Jan 26 2020 13:46:01,77.2,93.0
Jan 26 2020 13:46:02,77.3,92.9
Jan 26 2020 13:46:03,77.1,92.7
Jan 26 2020 13:46:04,77.0,92.7
Jan 26 2020 13:46:05,77.0,92.4
Jan 26 2020 13:46:06,76.9,92.3
Jan 26 2020 13:46:07,76.9,92.2
Jan 26 2020 13:46:08,77.1,92.7
Jan 26 2020 13:46:09,77.2,92.5
Jan 26 2020 13:46:10,77.4,93.6
Jan 26 2020 13:46:11,77.2,93.7
Jan 26 2020 13:46:12,77.0,93.5
Jan 26 2020 13:46:13,76.7,93.1
Jan 26 2020 13:46:15,76.5,92.6
Jan 26 2020 13:46:16,76.4,92.9
Jan 26 2020 13:46:17,76.3,93.1
Jan 26 2020 13:46:18,76.7,93.8
Jan 26 2020 13:46:19,76.8,93.2
Jan 26 2020 13:46:20,76.3,92.7
Jan 26 2020 13:46:21,76.5,92.8
Jan 26 2020 13:46:22,76.5,93.3
Jan 26 2020 13:46:23,76.5,93.2
Jan 26 2020 13:46:24,76.4,92.8
Jan 26 2020 13:46:25,76.9,93.4
Jan 26 2020 13:46:26,77.2,94.2
Jan 26 2020 13:46:27,77.2,94.2
Jan 26 2020 13:46:28,77.2,93.9
Jan 26 2020 13:46:29,77.2,94.7
Jan 26 2020 13:46:30,77.6,93.8
Jan 26 2020 13:46:31,78.1,94.2
Jan 26 2020 13:46:32,78.3,93.9
Jan 26 2020 13:46:33,78.3,94.2
Jan 26 2020 13:46:34,78.8,95.0
Jan 26 2020 13:46:35,78.9,94.5
Jan 26 2020 13:46:36,79.2,94.5
Jan 26 2020 13:46:37,79.8,95.0
Jan 26 2020 13:46:38,79.6,94.6
Jan 26 2020 13:46:39,79.7,94.0
Jan 26 2020 13:46:40,79.7,95.0
Jan 26 2020 13:46:41,79.6,94.0
Jan 26 2020 13:46:42,79.6,94.4
Jan 26 2020 13:46:43,80.0,94.8
Jan 26 2020 13:46:44,80.0,94.7
Jan 26 2020 13:46:45,80.6,95.2
Jan 26 2020 13:46:46,80.5,94.7
Jan 26 2020 13:46:47,80.6,94.9
Jan 26 2020 13:46:48,80.6,95.0
Jan 26 2020 13:46:49,80.5,95.2
Jan 26 2020 13:46:50,80.8,95.8
Jan 26 2020 13:46:51,80.9,96.3
Jan 26 2020 13:46:52,80.9,96.0
Jan 26 2020 13:46:53,80.9,96.2
Jan 26 2020 13:46:54,80.9,96.0
Jan 26 2020 13:46:55,80.7,95.2
Jan 26 2020 13:46:56,80.7,95.1
Jan 26 2020 13:46:57,81.1,95.4
Jan 26 2020 13:46:58,81.7,96.0
Jan 26 2020 13:46:59,81.5,95.6
Jan 26 2020 13:47:00,81.5,96.1
Jan 26 2020 13:47:01,80.9,96.3
Jan 26 2020 13:47:02,80.4,96.0
