Monitoraggio del materiale particolato di Pablito e Seba
by Sebastian Peradotto (purosangue)
Started at: Jan 21 2020 15:45:44
Data unit: [micro g/m^3]
Date,PM2.5,PM10
Jan 21 2020 15:45:45,16.3,19.7
Jan 21 2020 15:45:46,16.2,19.6
Jan 21 2020 15:45:47,16.2,19.0
Jan 21 2020 15:45:48,16.2,18.8
Jan 21 2020 15:45:49,16.2,18.6
Jan 21 2020 15:45:50,16.3,18.6
Jan 21 2020 15:45:51,16.2,18.5
Jan 21 2020 15:45:52,16.2,18.7
Jan 21 2020 15:45:53,16.2,18.7
Jan 21 2020 15:45:54,16.2,18.8
Jan 21 2020 15:45:55,16.3,19.1
Jan 21 2020 15:45:56,16.4,19.3
Jan 21 2020 15:45:57,16.5,19.5
Jan 21 2020 15:45:58,16.5,19.5
Jan 21 2020 15:45:59,16.5,19.0
Jan 21 2020 15:46:00,16.6,19.2
Jan 21 2020 15:46:01,16.7,19.9
Jan 21 2020 15:46:02,16.5,19.7
Jan 21 2020 15:46:03,16.4,19.4
Jan 21 2020 15:46:04,16.4,19.3
Jan 21 2020 15:46:05,16.4,19.9
Jan 21 2020 15:46:06,16.3,19.5
Jan 21 2020 15:46:07,16.4,19.7
Jan 21 2020 15:46:08,16.3,19.7
Jan 21 2020 15:46:09,16.5,20.0
Jan 21 2020 15:46:10,16.4,20.4
Jan 21 2020 15:46:11,16.2,20.2
Jan 21 2020 15:46:12,16.2,20.3
Jan 21 2020 15:46:13,16.3,19.9
Jan 21 2020 15:46:14,16.3,20.5
Jan 21 2020 15:46:15,16.4,20.9
Jan 21 2020 15:46:16,16.5,20.9
Jan 21 2020 15:46:17,16.5,21.0
Jan 21 2020 15:46:18,16.6,21.0
Jan 21 2020 15:46:19,16.4,20.8
Jan 21 2020 15:46:20,16.4,20.6
Jan 21 2020 15:46:21,16.5,20.8
Jan 21 2020 15:46:22,16.4,20.5
Jan 21 2020 15:46:23,16.4,21.7
Jan 21 2020 15:46:25,16.4,21.7
Jan 21 2020 15:46:26,16.4,21.6
Jan 21 2020 15:46:27,16.5,21.5
Jan 21 2020 15:46:28,16.4,21.3
Jan 21 2020 15:46:29,16.5,21.5
Jan 21 2020 15:46:30,16.7,21.7
Jan 21 2020 15:46:31,16.6,21.6
Jan 21 2020 15:46:32,16.5,21.0
Jan 21 2020 15:46:33,16.5,21.1
Jan 21 2020 15:46:34,16.4,21.7
Jan 21 2020 15:46:35,16.4,22.1
Jan 21 2020 15:46:36,16.4,21.4
Jan 21 2020 15:46:37,16.4,21.4
Jan 21 2020 15:46:38,16.7,21.9
Jan 21 2020 15:46:39,16.7,21.9
Jan 21 2020 15:46:40,16.5,21.6
Jan 21 2020 15:46:41,16.4,21.0
Jan 21 2020 15:46:42,16.5,21.1
Jan 21 2020 15:46:43,16.5,21.0
Jan 21 2020 15:46:44,16.5,20.9
Jan 21 2020 15:46:45,16.4,20.3
Jan 21 2020 15:46:46,16.4,20.2
Jan 21 2020 15:46:47,16.4,20.2
Jan 21 2020 15:46:48,16.3,20.6
Jan 21 2020 15:46:49,16.4,20.7
Jan 21 2020 15:46:50,16.4,20.7
Jan 21 2020 15:46:51,16.3,20.7
Jan 21 2020 15:46:52,16.2,20.3
Jan 21 2020 15:46:53,16.1,20.2
Jan 21 2020 15:46:54,16.1,19.4
Jan 21 2020 15:46:55,15.9,19.1
Jan 21 2020 15:46:56,15.9,19.3
Jan 21 2020 15:46:57,15.8,19.7
Jan 21 2020 15:46:58,15.8,20.7
Jan 21 2020 15:46:59,15.6,20.4
Jan 21 2020 15:47:00,15.7,20.7
Jan 21 2020 15:47:01,15.7,21.1
Jan 21 2020 15:47:02,15.6,20.9
Jan 21 2020 15:47:03,15.6,20.8
Jan 21 2020 15:47:04,15.7,20.3
Jan 21 2020 15:47:05,15.6,19.9
Jan 21 2020 15:47:06,15.5,20.8
Jan 21 2020 15:47:07,15.5,20.8
Jan 21 2020 15:47:08,15.2,19.9
Jan 21 2020 15:47:09,15.1,19.7
